id,name,day,start_on,finish_on,teacher_name
10969 L,CSE 5914,T R,5:30 PM,6:25 PM,S.Boxwell
10476 L,CSE 5915,T R,5:30 PM,6:25 PM,D.Ogle
10477 L,CSE 5915,T R,5:30 PM,6:25 PM,D.Ogle
7304 L,CSE 6249,R,4:30 PM,5:25 PM,S.Parthasarathy (GR)
10983 L,CSE 6331,T R,12:45 PM,1:40 PM,T.Lai
35736 L,CSE 6331,T R,3:55 PM,4:50 PM,T.Lai
6944 L,CSE 6341,T R,11:10 AM,12:05 PM,A.Rountev
10549 L,CSE 6421,M W,12:45 PM,1:40 PM,M.Teodorescu
10479 L,CSE 6431,W F,9:35 AM,10:30 AM,Y.Wang
6991 L,CSE 6461,T R,3:55 PM,4:50 PM,N.Shroff
10151 L,CSE 6469,R,11:10 AM,12:05 PM,A.Arora (GR)
8692 L,CSE 6539,M,9:10 AM,10:05 AM,J.Fosler-Lussier (GR)
9874 L,CSE 1222,M W F,8:00 AM,8:55 AM,N.Roman
5916 L,CSE 2111,F,10:10 AM,11:05 AM,
9716 L,CSE 1223,T R,9:45 AM,10:40 AM,D.Kline
5921 L,CSE 2111,T R,11:15 AM,12:10 PM,D.Kline
10935 L,CSE 1222,M W F,1:00 PM,1:55 PM,G.Mirzaei
10936 L,CSE 1222,M W F,12:00 PM,12:55 PM,G.Mirzaei
10963 B,CSE 2111,F,1:00 PM,1:55 PM,Q.Tahmina
10964 L,CSE 2111,M W,1:30 PM,2:25 PM,Q.Tahmina
35105 L,CSE 2231,M WRF,4:30 PM,5:25 PM,G.Mirzaei
5926 L,CSE 1111,T R,12:45 PM,1:40 PM,F.Crowner
5927 L,CSE 1223,T R,8:00 AM,8:55 AM,F.Crowner
5928 L,CSE 2111,T R,10:20 AM,11:15 AM,F.Crowner
10851 L,CSE 2111,T R,3:05 PM,4:00 PM,F.Crowner
